,topik,keywords
88,FAQ PERKULIAHAN HYBRID FILKOM UB,faq perkuliahan hybrid
89,DAFTAR ULANG,prosedur daftar ulang
90,KULIAH HYBRID,kuliah hybrid
91,PERMOHONAN PERPANJANGAN MAHASISWA DO DILUAR SKRIPSI,permohonan perpanjangan mahasiswa
92,PERKUIAHAN HYBRID WAJIB HADIR,perkuiahan hybrid wajib
93,PENDATAAN KELAS PENUH,pendataan kelas penuh
94,_VALIDASI KRS JTIF TERLAMBAT,krs jtif terlambat
95,IJAZAH,mengisi link berikut
96,LEGALISIR IJAZAH,"halo filkom,legalisir ijazah"
97,_LIST DOSEN MINAT SKRIPSI,dosen minat skripsi
98,_LEGALISIR KHS DLL DTIF,legalisir khs dll
99,PIN,telah menghubungi halofilkom
100,_TIDAK BISA MENGIKUTI PERKULIAHAN LURING HYBRID,tidak bisa mengikuti
101,LAYANAN,terimkasih telah menghubungi
102,STATUS WISUDA BELUM VALID,status wisuda belum
103,PEMINJAMAN IJAZAH,link peminjaman ijazah
104,_ PERUBAHAN JUDUL SKRIPSI,perubahan judul skripsi
105,TIDAK BISA MENGIKUTI UAS LURING DAN TERPADU,luring dan terpadu
106,SKL DAN TRANSKRIP SEMENTARA,dan transkrip sementara
107,_REVISI SKRIPSI,pengajuan ttd dosen
108,KIPK,masih mengikuti panduan
109,_LAYANAN,berikut kami sampaikan
110,_EDARAN SKRIPSI,edaran fakultas berikut
111,_PENGAJUAN NILAI PRAKTIKUM,pengajuan nilai praktikum
112,_KKN 2020,tata tertib
113,_PENDAFTARAN SEMINAR HASIL UJIAN SKRIPSI FILKOM UB,pendaftaran seminar hasil
114,_NILAI PKM  KKN,nilai pkm kkn
115,PSIK  PERMASALAHAN TELAH DIPROSES TIKET DITUTUP,diproses tiket ditutup
116,_NILAI MBKM BELUM KELUAR 20212,mbkm belum keluar
117,_PERPANJANGAN SKRIPSI,dapat diberikan perpanjangan
118,PERPANJANGAN MASA STUDI FILKOM 2022 2023 GANJIL,masa studi filkom
119,_ALUR PASCA UJIAN SKRIPSI,alur pasca ujian
120,_MHS KRITIS UJIAN SBLM 21072022 YUDISIUM,kritis ujian sblm
121,_UJIAN SKRIPSI 20212  PENDAFTARAN YUDISIUM NON KRITIS 20212 20221,sesuai edaran dekan
122,_TEMPLATES DTIF,terkait template dtif
123,_VALIDASI WISUDA  JURNAL TOEFL TI,wisuda jurnal toefl
